holdingTankMeasurementId,holdingTankId,dateMeasured,temperature,salinity,ph
093627ac-5d9d-4a93-bde6-82f8a4a8d8f5,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-01-01,23,28,8.1
f12f0beb-7fda-4da4-a883-6ccbcdd3e8d0,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-01-09,23,24,7.9
90e719d9-ddda-4582-85d7-ee86294e0b4c,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-01-14,25.7,31,7.9
1af80f45-2ed7-42dd-afdd-6bba612a9fb6,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-01-21,23.5,29,8.1
32fce54b-ec0c-4491-a5be-e3c1c0b55324,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-01-28,23,34.2,7.6
01ca7847-4822-4083-a255-1e5a4697cbef,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-02-03,23,25.3,7.9
e8b09a25-58b0-4cb0-bfe5-fa1f87965554,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-02-07,23.3,32,8.2
a7127138-0e2a-4399-8a02-7081e6737614,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-02-14,23.5,32.2,8
ad10dc71-4037-4d87-bf50-26a56db559de,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-03-16,2.5,28.5,7.9
f2853538-e2ec-475c-9e68-35931e9b5fc5,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-03-21,23.8,27.9,7.9
22fe4620-ae17-4c6c-b54f-19ecefa154da,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-03-28,24.6,32,7.9
f7bb1f29-dd5c-4c69-ba64-0d0efa3f8802,703340b0-b629-452f-8c7d-975852a56729,2007-01-01,23.2,28.2,8.13
7a6271b2-5c8a-44fe-aba1-8744e3ec88d4,703340b0-b629-452f-8c7d-975852a56729,2007-01-09,23.2,2.2,7.9
489a4bb1-c151-4bf7-88e5-80b7550952a2,703340b0-b629-452f-8c7d-975852a56729,2007-01-14,26,30.1,7.8
25f98c2e-0688-4d95-b51a-0484d4cce687,703340b0-b629-452f-8c7d-975852a56729,2007-01-21,23.5,29.1,8.1
3aad19c6-1285-4046-b55a-458a9b6d0340,703340b0-b629-452f-8c7d-975852a56729,2007-01-28,23,34.2,7.6
8e15590a-f613-45ca-adca-44b92a6aa903,703340b0-b629-452f-8c7d-975852a56729,2007-02-03,23,25.2,7.9
