seaTurtleMorphometricId,seaTurtleId,dateMeasured,sclSNotchNotchValue,sclNotchNotchUnits,sclNotchTipValue,sclNotchTipUnits,sclTipTipValue,sclTipTipUnits,scwValue,scwUnits,cclNotchNotchValue,cclNotchNotchUnits,cclNotchTipValue,cclNotchTipUnits,cclTipTipValue,cclTipTipUnits,ccwValue,ccwUnits,weightValue,weightUnits
2e8c3206-8fee-492c-9fb5-c4e420c9a865,5e0f0dea-9706-4af0-9126-b80cd0891e5b,2008-01-13,27.1,cm,27.5,cm,0,,22.4,cm,28.2,cm,28.7,cm,0,,24.2,cm,1.9,kg
3a4ebe53-e4b2-48c1-b7e6-28049cdf5be2,6a368b7c-9364-432b-9a45-29a4ee324b7d,2008-01-14,28.9,cm,29.2,cm,0,,22.9,cm,30.8,cm,31.2,cm,0,,26.2,cm,3.05,kg
6ef5ab49-7bc4-4e04-84ed-f1afa686e109,6a368b7c-9364-432b-9a45-29a4ee324b7d,2008-01-07,0,,0,,0,,0,,0,,0,,0,,0,,2.9,kg
76b1082f-2cee-44cb-a367-cf6cdde18155,6a368b7c-9364-432b-9a45-29a4ee324b7d,2007-12-28,0,,0,,0,,0,,0,,0,,0,,0,,2.85,kg
923256cd-8972-400d-86f7-11ce0072fa83,6a368b7c-9364-432b-9a45-29a4ee324b7d,2007-12-23,0,,0,,0,,0,,0,,0,,0,,0,,2.8,kg
93cf165e-c9f1-4f9a-aeb8-2643b58a297a,6a368b7c-9364-432b-9a45-29a4ee324b7d,2007-12-22,0,,0,,0,,0,,0,,0,,0,,0,,2.75,kg
75149024-9ef2-40cd-a565-cc7ceeb8c900,6a368b7c-9364-432b-9a45-29a4ee324b7d,2007-12-15,0,,0,,0,,0,,0,,0,,0,,0,,2.85,kg
3c78c9a9-5a91-4f27-ab33-7099819f3c12,5c1c2fad-1745-490a-b2c2-29732eb84bd9,2008-01-22,0,,0,,0,,0,,34,cm,34.5,cm,0,,30.5,cm,4,kg
c793d7a1-ec5b-459e-aa2f-a19273107a74,dd15c4f0-7225-444d-8334-6bfb997b1bb4,2008-01-11,65.7,cm,67,cm,0,,55.1,cm,71,cm,72.9,cm,0,,68.6,cm,41.75,kg
87f48111-a22f-40cd-8bbe-597ce1449fa3,83d39b37-5dab-43c7-a1ba-abd1b7336a16,2007-12-14,69.7,cm,72.1,cm,0,,57.8,cm,74,cm,76.2,cm,0,,75.4,cm,43.05,kg
66ee4fc3-3e71-4b3e-9151-e7ce99c23510,b0b67b1c-567f-4bdb-85c9-75f3d3786713,2008-01-14,31.9,cm,32.5,cm,0,,26.5,cm,33.2,cm,34.1,cm,0,,29.5,cm,4.3,kg
09e5d0c6-df87-4d69-b73c-3b5f7afd4f3b,630741ed-25e4-448c-b85b-86910bb4bc7b,2008-01-16,25.2,cm,25.3,cm,0,,19.5,cm,26.5,cm,26.7,cm,0,,23.2,cm,2.15,kg
e7dafb7d-e10e-48b4-bfb1-5fd07a6a9270,12714843-b65a-44b5-9e86-e42c9bab95cd,2008-01-14,25.9,cm,0,,0,,20.5,cm,27.5,cm,0,,0,,23.2,cm,2.55,kg
dd822ac9-01d5-4fe0-8026-225f3519ca5d,1f2331eb-ac15-4bb5-aafa-6602af3b030c,2008-01-16,27.9,cm,28.4,cm,0,,21.7,cm,28.9,cm,29.4,cm,0,,24.6,cm,2.85,kg
