seaTurtleTagId,seaTurtleId,tagNumber,tagType,Location,dateTagged
95545967-cd52-4377-aef4-d376c9f1f4fa,9e3ca021-bb0f-4f55-a068-a943e308f29e,"4305263402",PIT,LFF,"2007-03-28"
354b8c4b-5b6e-4f02-936b-aaa1521a57ec,c7a5de4f-c46c-4d7c-80df-a5d972a6dfc0,RRZ460",Inconel,LFF,"2006-10-11"
f845df82-8de7-4d9c-ac96-75018a952009,c7a5de4f-c46c-4d7c-80df-a5d972a6dfc0,RRZ461",Inconel,RFF,"2006-10-11"
ad711b85-81e1-4ff4-92b5-bd642c63d72a,c7a5de4f-c46c-4d7c-80df-a5d972a6dfc0,"4462242D29",PIT,RFF,"2006-10-11"
54a33787-3883-4824-acdc-4ff51947f694,b339eb6d-e223-48ab-8678-26f1f4918bba,RRZ465",Inconel,RFF,"2007-03-28"
2d2aa8d4-5799-4a49-86cf-d5154af76b40,b339eb6d-e223-48ab-8678-26f1f4918bba,RRZ464",Inconel,LFF,"2007-03-28"
6f0e1b8a-08a6-4c2a-ba7a-8d9d5046a345,b339eb6d-e223-48ab-8678-26f1f4918bba,"4304763D0E",PIT,RFF,"2007-03-28"
ba365e13-722a-4d09-b0f9-5398c1c7c3e6,fae33702-6a91-41a8-8eb1-6989c60e11e1,RRZ469",Inconel,RFF,"2007-03-28"
52eb262b-d401-47e1-aec8-c93052153927,fae33702-6a91-41a8-8eb1-6989c60e11e1,RRZ468",Inconel,LFF,"2007-03-28"
4d21d208-9775-4930-b889-b02df48b1ed0,fae33702-6a91-41a8-8eb1-6989c60e11e1,"430477476C",PIT,RFF,"2007-03-28"
c9b17223-61f4-4263-bede-3f31e7dcf35d,63d676a0-bd33-4f69-bab9-a74a69b13aea,RRZ467",Inconel,RFF,"2007-03-28"
eb3c3b18-bc7e-4e09-9d7f-841e138a2337,63d676a0-bd33-4f69-bab9-a74a69b13aea,RRZ466",Inconel,LFF,"2007-03-28"
d80f5eb3-4f1a-4336-9fc4-98b9572e9a2a,63d676a0-bd33-4f69-bab9-a74a69b13aea,"4302145112",PIT,RFF,"2007-03-28"
4c8664af-478c-478d-89fa-8ac41df02e53,d2ca4bd9-03fe-4e82-8911-96de9044716e,RRZ62",Monel,LFF,"2007-03-08"
95c8d2db-ae95-4a92-b30a-badfa8656d08,d2ca4bd9-03fe-4e82-8911-96de9044716e,RRZ463",Monel,RFF,"2007-03-08"
de4de86b-db80-4730-9d61-ab84de3dd45b,d2ca4bd9-03fe-4e82-8911-96de9044716e,"4304595200",PIT,RFF,"2007-03-08"
3b426b8a-80f3-4581-9b5e-320354a6f084,04136e76-5239-4d0c-bfa8-055c28b63913,RRZ470",Inconel,LFF,"2007-04-20"
4f6a9162-34cd-486e-bf67-9d9d61360a0b,04136e76-5239-4d0c-bfa8-055c28b63913,RRZ471",Inconel,RFF,"2007-04-20"
94aeeb2f-1b48-420f-8fe3-24ba982f05bf,04136e76-5239-4d0c-bfa8-055c28b63913,"430270358",PIT,RFF,"2007-04-20"
46263933-483a-4c8d-9f76-93d10d487129,3fcec9c4-30bf-426c-ae09-6074b9cda76a,RRZ477",Inconel,RFF,"2007-04-27"
f27f2ba2-a14e-4c61-bdf1-c3b5133692b3,3fcec9c4-30bf-426c-ae09-6074b9cda76a,RRZ476",Inconel,LFF,"2007-04-27"
4e9ff782-c22d-476b-b307-ded29600d37a,3fcec9c4-30bf-426c-ae09-6074b9cda76a,"4301711A7",PIT,RFF,"2007-04-27"
657631c7-c93a-45a2-b829-1841bdc9df8c,5aaaf06e-5283-4910-8c4c-19c0e2bbfca7,RRZ482",Inconel,RFF,"2007-05-13"
cd02e1dd-c284-4dfb-9a47-6cbd90303591,5aaaf06e-5283-4910-8c4c-19c0e2bbfca7,RRZ483",Inconel,LFF,"2007-05-13"
72881089-20fa-4b73-b6b7-d8f5a2ef7fa0,5aaaf06e-5283-4910-8c4c-19c0e2bbfca7,"094605023",PIT,RFF,"2007-05-13"
ae9df543-9860-4e0c-9636-dec2c4d6d579,9415f8fe-bcb7-4b6c-be92-0d0a2f9dc9f2,RRZ479",Inconel,LFF,"2007-05-13"
49e50f86-baa1-4ad1-a498-f5b0b37ec9f7,9415f8fe-bcb7-4b6c-be92-0d0a2f9dc9f2,RRZ478",Inconel,RFF,"2007-05-13"
f601644a-651d-46f8-b6e3-c773d79c0a45,9415f8fe-bcb7-4b6c-be92-0d0a2f9dc9f2,"094607789",PIT,RFF,"2007-05-13"
