seaTurtleId|seaTurtleName|sidNumber|strandingIdNumber|species|dateAcquired|acquiredFrom|turtleSize|status|dateRelinquished|relinquishedTo|anomalies|injuryBoatStrike|injuryIntestinalImpaction|injuryLineEntanglement|injuryFishHook|injuryUpperRespiratory|injuryAnimalBite|injuryFibropapilloma|injuryMiscEpidemic|injuryDoa|injuryOther|wasCarryingTagsWhenEnc|recaptureType|tagReturnAddress|captureProjectType|didTurtleNest|captureProjectOther|acquiredCounty|acquiredLatitude|acquiredLongitude|relinquishedCounty|relinquishedLatitude|relinquishedLongitude|inspectedForTagScars|tagScarsLocated|scannedForPitTags|pitTagsScanFrequency|scannedForMagneticWires|magneticWiresLocated|inspectedForLivingTags|livingTagsLocated|brochureComments|brochureBackgroundColor|brochureImageFileAttachmentId
DEFBAFF8-7F44-4292-92BB-1B2FC100A4C1|Cm0445 Bubbles|4217|MLB041009-01|CM|2004-10-09|stranding - volusia|Juvenile|PD|2007-09-05|euth|shark bite left rear carapace and boat hit center spine, rear flipper partial paralysis|Y|N|N|N|N|Y|N|N|N|N||||||||||||||||||||||-1|
218737F1-9837-4BD0-B701-C13AAD02F180|Cc0722|7057|MLB070327-03|CC|2007-03-27|stranding - Mosquito Lagoon|Subadult|UR|2007-03-30|transferred to SWF||N|N|N|N|Y|N|N|N|N|N||||||||||||||||||||||-1|
9E3CA021-BB0F-4F55-A068-A943E308F29E|Cm0701|7000|MLB070102-01|CM|2007-01-02|stranding - Ponce Inlet|Juvenile|UR|2007-03-29|released|missing right front flipper|N|N|N|N|Y|N|N|N|N|N||||||||||||||||||||||-1|
C7A5DE4F-C46C-4D7C-80DF-A5D972A6DFC0|Cc0609 Thelma|6059|MLB060322-01|CC|2006-03-22|stranding - volusia|Subadult|UR|2007-04-23|released|boat hit to carapace, five wounds; right front flipper entanglement with crab trap line|Y|N|Y|N|N|N|N|N|N|N||||||||||||||||||||||-1|
B339EB6D-E223-48AB-8678-26F1F4918BBA|Cc0644 Wolfgang|6213|AMF060828-01|CC|2006-08-28|stranding - nassau county|Subadult|UR|2007-04-21|released|lethargic loggerhead|N|N|N|N|Y|N|N|Y|N|N||||||||||||||||||||||-1|
6F9635EC-6A48-4877-8E39-7B3DD244DCBC|Cc0649 Florence|6220|TMD060911-01|CC|2006-09-11|stranding - st johns county|Subadult|UR|2007-10-11|released|lethargic loggerhead|N|N|N|N|Y|N|N|Y|N|N||||||||||||||||||||||-1|
FAE33702-6A91-41A8-8EB1-6989C60E11E1|Cc0666 Rasputin|6311|MLB061126-01|CC|2006-11-26|stranding - volusia|Subadult|UR|2007-04-04|released  winter haven park|boat hit to carapace|Y|N|N|N|N|N|N|N|N|N||||||||||||||||||||||-1|
63D676A0-BD33-4F69-BAB9-A74A69B13AEA|Cc0673 Kringle|6335|MLB061217-01|CC|2006-12-17|stranding - st johns cty|Subadult|UR|2007-04-21|released|barnacle bill|N|Y|N|N|N|N|N|N|N|N||||||||||||||||||||||-1|
A6921557-55D5-447C-8FC4-8C7C572FAEC0|Lk0674 Ebenezer|6336|061219-01|LK|2006-12-19|stranding - volusia cty ponce inlet|Juvenile|UR|2007-05-16|released|head trauma and left eye orbit|Y|N|N|N|N|N|N|N|N|N||||||||||||||||||||||-1|
04136E76-5239-4D0C-BFA8-055C28B63913|Lk0675 Scrooge|6337|MLB061219-02|LK|2006-12-19|stranding - volusia cty main street|Juvenile|UR|2007-04-23|released|URI|N|N|N|N|Y|N|N|N|N|N||||||||||||||||||||||-1|
